Id,MU2020,MU2015,MU2010,MU2005,MU2000,MU1995,MU1990
64,1,0,0,0,0,0,0
66,1,1,1,1,0,0,0
67,1,1,1,1,0,0,0
68,1,1,1,1,0,0,0
69,1,1,1,1,0,0,0
237,1,0,0,0,0,0,0
238,1,0,0,0,0,0,0
239,1,1,1,1,0,0,0
240,1,1,0,0,0,0,0
241,1,1,1,0,0,0,0
242,1,1,0,0,0,0,0
265,1,1,1,1,1,0,0
266,1,1,1,1,1,0,0
267,1,1,1,1,1,0,0
268,1,1,1,1,1,0,0
409,1,1,0,0,0,0,0
410,1,0,0,0,0,0,0
411,1,0,0,0,0,0,0
412,1,0,0,0,0,0,0
413,1,1,1,1,1,1,1
414,1,0,0,0,0,0,0
415,1,0,0,0,0,0,0
438,1,1,1,1,1,0,0
439,1,1,1,1,1,0,0
440,1,1,1,1,1,0,0
441,1,1,1,1,1,0,0
442,1,1,1,1,1,0,0
582,1,1,1,0,0,0,0
583,1,1,1,0,0,0,0
584,1,0,0,0,0,0,0
585,1,0,0,0,0,0,0
586,1,1,1,1,1,1,1
587,1,1,1,1,1,1,1
588,1,0,0,0,0,0,0
611,1,1,1,1,1,0,0
612,1,1,1,1,1,0,0
613,1,1,1,1,1,0,0
614,1,1,1,1,1,0,0
615,1,1,1,1,0,0,0
616,1,1,1,1,0,0,0
754,1,0,0,0,0,0,0
755,1,1,1,0,0,0,0
756,1,1,1,0,0,0,0
757,1,1,0,0,0,0,0
758,1,0,0,0,0,0,0
759,1,1,1,1,1,1,1
760,1,1,1,1,1,1,1
761,1,1,1,0,0,0,0
762,1,0,0,0,0,0,0
783,1,1,1,1,1,0,0
784,1,1,1,1,1,0,0
785,1,1,1,1,1,0,0
786,1,1,1,1,0,0,0
787,1,1,1,1,0,0,0
788,1,1,1,1,0,0,0
927,1,0,0,0,0,0,0
928,1,1,1,0,0,0,0
929,1,1,0,0,0,0,0
930,1,1,0,0,0,0,0
931,1,1,1,1,1,1,1
932,1,1,1,1,1,1,1
933,1,1,1,1,1,1,1
934,1,0,0,0,0,0,0
935,1,0,0,0,0,0,0
936,1,0,0,0,0,0,0
956,1,1,1,1,1,0,0
957,1,1,1,1,1,0,0
958,1,1,1,1,1,0,0
959,1,1,1,1,0,0,0
960,1,1,1,1,0,0,0
1101,1,0,0,0,0,0,0
1102,1,0,0,0,0,0,0
1103,1,1,1,1,1,1,1
1104,1,1,1,1,1,1,1
1105,1,1,1,1,1,1,1
1106,1,1,1,1,1,1,1
1107,1,1,1,1,1,0,0
1108,1,1,1,1,1,0,0
1109,1,1,1,1,0,0,0
1110,1,0,0,0,0,0,0
1111,1,0,0,0,0,0,0
1274,1,0,0,0,0,0,0
1275,1,0,0,0,0,0,0
1276,1,1,1,1,1,1,1
1277,1,1,1,1,1,1,1
1278,1,1,1,1,1,1,1
1279,1,1,1,1,1,1,1
1280,1,1,1,1,1,0,0
1281,1,1,1,1,1,0,0
1282,1,1,1,0,0,0,0
1283,1,1,1,0,0,0,0
1284,1,0,0,0,0,0,0
1285,1,0,0,0,0,0,0
1447,1,0,0,0,0,0,0
1448,1,0,0,0,0,0,0
1449,1,1,1,1,1,1,1
1450,1,1,1,1,1,1,1
1451,1,1,1,1,1,1,1
1452,1,1,1,1,1,1,1
1453,1,1,1,1,1,1,1
1454,1,1,1,1,1,1,1
1455,1,1,1,1,0,0,0
1456,1,1,1,0,0,0,0
1457,1,0,0,0,0,0,0
1458,1,0,0,0,0,0,0
1459,1,0,0,0,0,0,0
1460,1,0,0,0,0,0,0
1461,1,0,0,0,0,0,0
1621,1,0,0,0,0,0,0
1622,1,1,1,1,1,1,1
1623,1,1,1,1,1,1,1
1624,1,1,1,1,1,1,1
1625,1,1,1,1,1,1,1
1626,1,1,1,1,1,1,1
1627,1,1,1,1,1,1,1
1628,1,1,1,1,0,0,0
1629,1,1,1,0,0,0,0
